algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms,decision
stat_mad,0.5333333333333333,1.0,1.0,0.5,1.0,1.0,0.8933333333333334,0.7666666666666667,0.7555555555555554,0.8224152709432261,0.375,0.5183333333333333,1.0,1.0,0.0,0.1335066667252249,DEMO_ONLY
stat_ewma,0.4666666666666666,1.0,1.0,0.4666666666666666,1.0,1.0,0.886666666666667,0.7333333333333333,0.7388888888888888,0.8073289785744983,0.375,0.5116666666666666,1.0,1.0,0.0,0.07916000001083973,DEMO_ONLY
ml_logistic,0.5555555555555555,1.0,1.0,0.5444444444444444,1.0,1.0,0.9022222222222225,0.7777777777777778,0.7777777777777777,0.8369624257926437,0.375,0.5272222222222221,1.0,1.0,0.01571348402636772,0.12244666664476717,DEMO_ONLY
ml_pca,0.4666666666666666,1.0,1.0,0.43333333333333335,1.0,1.0,0.8866666666666668,0.7333333333333333,0.7333333333333333,0.8031625352381108,0.375,0.5116666666666666,1.0,1.0,0.0,0.1657249999273819,DEMO_ONLY
dl_mlp,0.9333333333333332,1.0,1.0,0.9,1.0,1.0,0.9800000000000001,0.9666666666666667,0.9666666666666667,0.9753953169047639,0.375,0.605,1.0,1.0,0.0,0.14715333339457462,DEMO_ONLY
dl_autoencoder,0.5333333333333333,1.0,1.0,0.5,1.0,1.0,0.8933333333333334,0.7666666666666667,0.7555555555555554,0.8224152709432261,0.375,0.5183333333333333,1.0,1.0,0.0,0.26821166677564173,DEMO_ONLY
