algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms,decision
stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.11311499996888101,DEMO_ONLY
stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.11000333345994774,DEMO_ONLY
ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.1425433334285722,DEMO_ONLY
ml_pca,0.6,1.0,1.0,0.5666666666666667,1.0,1.0,0.9133333333333334,0.8000000000000002,0.8000000000000002,0.8523719014285831,0.375,0.5383333333333333,1.0,1.0,1.1102230246251565e-16,0.13593000003311298,DEMO_ONLY
dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.15888166665263256,DEMO_ONLY
dl_autoencoder,0.8666666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,0.9666666666666668,0.9333333333333332,0.9333333333333332,0.9507906338095277,0.375,0.5916666666666667,1.0,1.0,1.1102230246251565e-16,0.1604099999516012,DEMO_ONLY
