ablation,algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms
metric,stat_mad,0.5333333333333333,1.0,1.0,0.5,1.0,1.0,0.8933333333333334,0.7666666666666667,0.7555555555555554,0.8224152709432261,0.375,0.5183333333333333,1.0,1.0,0.0,0.1335066667252249
metric,stat_ewma,0.4666666666666666,1.0,1.0,0.4666666666666666,1.0,1.0,0.886666666666667,0.7333333333333333,0.7388888888888888,0.8073289785744983,0.375,0.5116666666666666,1.0,1.0,0.0,0.07916000001083973
metric,ml_logistic,0.5555555555555555,1.0,1.0,0.5444444444444444,1.0,1.0,0.9022222222222225,0.7777777777777778,0.7777777777777777,0.8369624257926437,0.375,0.5272222222222221,1.0,1.0,0.01571348402636772,0.12244666664476717
metric,ml_pca,0.4666666666666666,1.0,1.0,0.43333333333333335,1.0,1.0,0.8866666666666668,0.7333333333333333,0.7333333333333333,0.8031625352381108,0.375,0.5116666666666666,1.0,1.0,0.0,0.1657249999273819
metric,dl_mlp,0.9333333333333332,1.0,1.0,0.9,1.0,1.0,0.9800000000000001,0.9666666666666667,0.9666666666666667,0.9753953169047639,0.375,0.605,1.0,1.0,0.0,0.14715333339457462
metric,dl_autoencoder,0.5333333333333333,1.0,1.0,0.5,1.0,1.0,0.8933333333333334,0.7666666666666667,0.7555555555555554,0.8224152709432261,0.375,0.5183333333333333,1.0,1.0,0.0,0.26821166677564173
log,stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.07676999995661987
log,stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.09363666653522756
log,ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.13415333344255467
log,ml_pca,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.19114166659619505
log,dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.14922333314946917
log,dl_autoencoder,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.15093999988948767
metric_log,stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.17498500010333362
metric_log,stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.10823000017505056
metric_log,ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.13284166658801635
