algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms,decision
stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.08155333321155915,DEMO_ONLY
stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.10726333348429751,DEMO_ONLY
ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.1223833331323475,DEMO_ONLY
ml_pca,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.12284333319409281,DEMO_ONLY
dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.20295499996336716,DEMO_ONLY
dl_autoencoder,0.888888888888889,1.0,1.0,0.8555555555555556,1.0,1.0,0.9711111111111111,0.9444444444444443,0.9444444444444443,0.9589921948412731,0.375,0.5961111111111111,1.0,1.0,0.01571348402636772,0.172711666679485,DEMO_ONLY
