algorithm,hit1,hit3,hit5,recall1,recall3,recall5,avg5,mrr,map,ndcg5,chance_avg5,lift_avg5,candidate_recall,evidence_coverage,mrr_seed_std,latency_p95_ms,decision
stat_mad,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.07676999995661987,DEMO_ONLY
stat_ewma,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.09363666653522756,DEMO_ONLY
ml_logistic,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.13415333344255467,DEMO_ONLY
ml_pca,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.19114166659619505,DEMO_ONLY
dl_mlp,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.14922333314946917,DEMO_ONLY
dl_autoencoder,1.0,1.0,1.0,0.9666666666666667,1.0,1.0,0.9933333333333335,1.0,1.0,1.0,0.375,0.6183333333333334,1.0,1.0,0.0,0.15093999988948767,DEMO_ONLY
